run_id,model,domain,task_type,difficulty,n,n_samples,n_needs_review,n_excluded_from_main,n_samples_unscored,n_items_unscored,mean_score,mean_score_incl_review,small_cell,ci_method,ci_low,ci_high,t2_judgment_accuracy,t2_verdict_ci_low,t2_verdict_ci_high,t4_pass_at_1,diagnostic_functional_threshold_rate,t4_performance_pass_rate,judge_mean_score_range,paper_eligible
midtier-20260828-v1,GLM-4-32B,D4,T2,Expert,3,3,0,0,0,0,0.2916666666666667,0.2916666666666667,True,"none (descriptive, n<5)",,,0.6666666666666666,0.2076596008020547,0.9385080552796013,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D4,T2,Intermediate,5,5,0,0,0,0,0.275,0.275,False,item-cluster bootstrap B=20000 seed=20260805,0.05,0.525,1.0,0.5655175352168389,1.0,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D4,T3,Expert,3,3,0,0,0,0,0.5,0.5,True,"none (descriptive, n<5)",,,,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D4,T3,Intermediate,7,7,0,0,0,0,0.3428571428571429,0.3428571428571429,False,item-cluster bootstrap B=20000 seed=20260805,0.17142857142857143,0.5142857142857143,,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D4,T4,Basic,4,4,0,0,0,0,0.75,0.75,True,wilson,0.3006418425824105,0.9544127391902977,,,,0.75,0.75,1.0,,True
midtier-20260828-v1,GLM-4-32B,D4,T4,Expert,1,1,0,0,0,0,0.0,0.0,True,none (n<2),,,,,,0.0,0.0,1.0,,True
midtier-20260828-v1,GLM-4-32B,D4,T4,Intermediate,1,1,0,0,0,0,1.0,1.0,True,none (n<2),,,,,,1.0,1.0,1.0,,True
midtier-20260828-v1,GLM-4-32B,D5,T1,Basic,8,8,0,0,0,0,0.75,0.75,False,wilson,0.40927543031017727,0.9285207872478887,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D5,T1,Expert,10,10,0,0,0,0,1.0,1.0,False,wilson,0.7224672001371218,0.9999999999999999,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D5,T1,Intermediate,12,12,0,0,0,0,0.8333333333333334,0.8333333333333334,False,wilson,0.5519691377470349,0.9530348578161448,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D5,T2,Expert,2,2,0,0,0,0,0.4375,0.4375,True,"none (descriptive, n<5)",,,1.0,0.34238022750666547,1.0,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D5,T2,Intermediate,6,6,0,0,0,0,0.25,0.25,False,item-cluster bootstrap B=20000 seed=20260805,0.08333333333333333,0.4375,0.6666666666666666,0.29999331513839955,0.9032285888942164,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D5,T3,Expert,4,4,0,0,0,0,0.5,0.5,True,"none (descriptive, n<5)",,,,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D5,T3,Intermediate,4,4,0,0,0,0,0.75,0.75,True,"none (descriptive, n<5)",,,,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D5,T4,Basic,1,1,0,0,0,0,1.0,1.0,True,none (n<2),,,,,,1.0,1.0,1.0,,True
midtier-20260828-v1,GLM-4-32B,D5,T4,Intermediate,3,3,0,0,0,0,0.6666666666666666,0.6666666666666666,True,wilson,0.2076596008020547,0.9385080552796013,,,,0.6666666666666666,0.6666666666666666,1.0,,True
midtier-20260828-v1,GLM-4-32B,D6,T1,Basic,8,8,0,0,0,0,1.0,1.0,False,wilson,0.6755924351161318,1.0,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D6,T1,Expert,10,10,0,0,0,0,1.0,1.0,False,wilson,0.7224672001371218,0.9999999999999999,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D6,T1,Intermediate,12,12,0,0,0,0,0.9166666666666666,0.9166666666666666,False,wilson,0.646120088858892,0.9851349055950824,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D6,T2,Expert,1,1,0,0,0,0,0.875,0.875,True,none (n<2),,,1.0,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D6,T2,Intermediate,7,7,0,0,0,0,0.5178571428571429,0.5178571428571429,False,item-cluster bootstrap B=20000 seed=20260805,0.375,0.6428571428571429,1.0,0.6456695649333253,1.0,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D6,T3,Expert,4,4,0,0,0,0,0.75,0.75,True,"none (descriptive, n<5)",,,,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D6,T3,Intermediate,4,4,0,0,0,0,0.8,0.8,True,"none (descriptive, n<5)",,,,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D6,T4,Intermediate,4,4,0,0,0,0,0.75,0.75,True,wilson,0.3006418425824105,0.9544127391902977,,,,0.75,0.75,1.0,,True
midtier-20260828-v1,Hunyuan-A13B,D1,T1,Basic,15,15,0,0,0,0,0.7333333333333333,0.7333333333333333,False,wilson,0.480495659440201,0.8910254667430735,,,,,,,,True
